provinsi,tahun,crime_total,is_outlier,population,population_density,pop_extrapolated,crime_rate_per100k,unemployment_rate,pulau,region,pulau_enc,region_enc,crime_rate_per100k_scaled,population_scaled,population_density_scaled,unemployment_rate_scaled
Kalimantan Selatan,2024,5952.0,False,4273400.0,115.0,False,139.3,4.045,Kalimantan,Kalimantan Bagian Selatan,2,5,-0.2375286216,-0.3406351778,-0.2383314532,-0.2012020945
Kalimantan Tengah,2015,2681.0,False,2519141.0,16.0,True,106.4,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6168737397,-0.4998098496,-0.2755633269,-0.2012020945
Kalimantan Tengah,2016,7211.0,False,2548615.0,16.2,True,282.9,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,1.4182148118,-0.4971354929,-0.275488111,-0.2012020945
Kalimantan Tengah,2017,2699.0,False,2578434.0,16.4,True,104.7,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.6364751592,-0.4944298323,-0.2754128951,-0.2012020945
Kalimantan Tengah,2018,5699.0,False,2608602.0,16.6,True,218.5,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,0.675666921,-0.4916925047,-0.2753376792,-0.2012020945
Kalimantan Tengah,2019,2444.0,False,2639122.0,16.8,True,92.6,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.7759911449,-0.488923238,-0.2752624633,-0.2012020945
Kalimantan Tengah,2020,2629.0,False,2670000.0,17.0,False,98.5,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.707962689,-0.4861214878,-0.2751872474,-0.2012020945
Kalimantan Tengah,2021,2399.0,False,2702200.0,18.0,False,88.8,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.8198060825,-0.4831997845,-0.2748111679,-0.2012020945
Kalimantan Tengah,2022,3189.0,False,2741100.0,18.0,False,116.3,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.5027242969,-0.479670149,-0.2748111679,-0.2012020945
Kalimantan Tengah,2023,4420.0,False,2773700.0,18.0,False,159.4,4.045,Kalimantan,Kalimantan Bagian Tengah,2,6,-0.0057706619,-0.4767121512,-0.2748111679,-0.2012020945
Kalimantan Tengah,2024,4897.0,False,2809700.0,18.0,False,174.3,3.84,Kalimantan,Kalimantan Bagian Tengah,2,6,0.1660300147,-0.4734456505,-0.2748111679,-0.4532315076
Kalimantan Timur,2015,8764.0,False,3553216.0,27.4,True,246.6,4.045,Kalimantan,Kalimantan Bagian Timur,2,7,0.9996668547,-0.4059818865,-0.2712760203,-0.2012020945
Kalimantan Timur,2016,8896.0,False,3594788.0,27.7,True,247.5,4.045,Kalimantan,Kalimantan Bagian Timur,2,7,1.0100440768,-0.4022098041,-0.2711631964,-0.2012020945
Kalimantan Timur,2017,9149.0,False,3636847.0,28.0,True,251.6,4.045,Kalimantan,Kalimantan Bagian Timur,2,7,1.0573180885,-0.3983935332,-0.2710503725,-0.2012020945
Kalimantan Timur,2018,6287.0,False,3679398.0,28.3,True,170.9,4.045,Kalimantan,Kalimantan Bagian Timur,2,7,0.1268271757,-0.3945326202,-0.2709375487,-0.2012020945
Kalimantan Timur,2019,4417.0,False,3722447.0,28.7,True,118.7,4.045,Kalimantan,Kalimantan Bagian Timur,2,7,-0.4750517047,-0.3906265206,-0.2707871169,-0.2012020945
